"Name","Address","City","State","ZIP/Postal","Phone","BusCode","BusOrRes","SolicitFlag","BusType","Last Name","First Name","Middle Initial","Suffix","Secondary Name","URL","Country"
"Adlair Aviation Ltd","","Cambridge Bay","NU","X0B","867-983-2348","13870","B","N","AIRCRAFT CHARTER RENTAL & LEASING SVC","","","","","","","CA"
"Adlair Aviation Ltd","","Cambridge Bay","NU","X0B","867-983-2569","13870","B","N","AIRCRAFT CHARTER RENTAL & LEASING SVC","","","","","","","CA"
"Adlair Aviation Ltd","","Cambridge Bay","NU","X0B","867-983-2569","14600","B","N","AIRLINE SERVICES","","","","","","","CA"
"Adlair Aviation Ltd","","Cambridge Bay","NU","X0B","867-983-2847","0","B","N","","","","","","","","CA"
"Aglak Tabitha Access House","","Pond Inlet","NU","X0A","867-899-8951","0","B","N","","","","","","","","CA"
"Aglukkaq Leona Mla","","Gjoa Haven","NU","X0B","867-360-6337","0","B","N","","","","","","","","CA"
"Aglukkaq Leona Mla","","Gjoa Haven","NU","X0B","867-360-6819","0","B","N","","","","","","","","CA"
"Aglukkaq Leona Mla","","Taloyoak","NU","X0B","867-561-6243","0","B","N","","","","","","","","CA"
"Aglukkaq Leona Mla","","Taloyoak","NU","X0B","867-561-6244","0","B","N","","","","","","","","CA"
"Air Cadet Squadron","","Iqaluit","NU","X0A","867-979-3918","0","B","N","","","","","","","","CA"
"Air Canada","","Iqaluit","NU","X0A","867-979-2500","703377","B","N","AIR CANADA AIRLINES","","","","","","","CA"
"Air Canada","","Iqaluit","NU","X0A","867-979-2835","703377","B","N","AIR CANADA AIRLINES","","","","","","","CA"
"Air Inuit Ltd","","Sanikiluaq","NU","X0A","867-266-8946","14600","B","N","AIRLINE SERVICES","","","","","","","CA"
"Air Inuit Ltd","","Sanikiluaq","NU","X0A","867-266-8947","43720","B","N","BUSINESS SVCS","","","","","","","CA"
"Air Nunavut","","Iqaluit","NU","X0A","867-975-3354","0","B","N","","","","","","","","CA"
"Air Nunavut","","Iqaluit","NU","X0A","867-979-0315","0","B","N","","","","","","","","CA"
"Air Nunavut","","Iqaluit","NU","X0A","867-979-1657","0","B","N","","","","","","","","CA"
"Air Nunavut","","Iqaluit","NU","X0A","867-979-4318","0","B","N","","","","","","","","CA"
"Air Nunavut","","Iqaluit","NU","X0A","867-979-4546","0","B","N","","","","","","","","CA"
"Air Nunavut","PO Box 1239","Iqaluit","NU","X0A","867-979-4018","267446","B","",""AIRCRAFT SERVICING, MAINTENANCE & STORAGE"","","","","","","","CA"
"Air Nunavut","PO Box 1239","Iqaluit","NU","X0A","867-979-4018","13870","B","","AIRCRAFT CHARTER RENTAL & LEASING SVC","","","","","","","CA"
"Aiviit Hunters & Trappers Assoc","","Coral Harbour","NU","X0C","867-925-8300","0","B","N","","","","","","","","CA"
"Aiviit Hunters & Trappers Assoc","","Coral Harbour","NU","X0C","867-925-8622","20670","B","N","ASSOCIATIONS SOCIETIES & FOUNDATIONS","","","","","","","CA"
"Aivik Radio Society","","Kimmirut","NU","X0A","867-939-2336","0","B","N","","","","","","","","CA"
"Aiviq Hunters & Trappers","","Cape Dorset","NU","X0A","867-897-8214","20670","B","N","ASSOCIATIONS SOCIETIES & FOUNDATIONS","","","","","","","CA"
"Aiviq Hunters & Trappers","","Cape Dorset","NU","X0A","867-897-8978","20670","B","N","ASSOCIATIONS SOCIETIES & FOUNDATIONS","","","","","","","CA"
"Ajajaa Pairivik Society","","Rankin Inlet","NU","X0C","867-645-2502","51451","B","N","CHILD CARE SERVICE","","","","","","","CA"
"Ajajaa Pairivik Society","","Rankin Inlet","NU","X0C","867-645-2503","0","B","N","","","","","","","","CA"
"Ajajaa Pairivik Society","","Rankin Inlet","NU","X0C","867-645-3725","0","B","N","","","","","","","","CA"
"Akausisarvik","","Iqaluit","NU","X0A","867-979-7732","216940","B","N","SOCIAL & HUMAN SERVICES ORGANIZATIONS","","","","","","","CA"
"Akausisarvik","","Iqaluit","NU","X0A","867-979-7733","0","B","N","","","","","","","","CA"
"Akausisarvik","","Iqaluit","NU","X0A","867-979-7734","0","B","N","","","","","","","","CA"
"Akausisarvik","","Iqaluit","NU","X0A","867-979-7735","0","B","N","","","","","","","","CA"
"Akesuk Olayuk Mla","","Cape Dorset","NU","X0A","867-897-8645","0","B","N","","","","","","","","CA"
"Akesuk Olayuk Mla","","Cape Dorset","NU","X0A","867-897-8753","0","B","N","","","","","","","","CA"
"Akesuk Olayuk Mla","","Kimmirut","NU","X0A","867-939-2778","0","B","N","","","","","","","","CA"
"Akesuk Olayuk Mla","","Kimmirut","NU","X0A","867-939-2779","0","B","N","","","","","","","","CA"
"Akhaliak Consulting Ltd","","Iqaluit","NU","X0A","867-979-2512","0","B","N","","","","","","","","CA"
"Akhaliak Consulting Ltd","Bldg 2736","Iqaluit","NU","X0A","867-979-2501","0","B","","","","","","","","","CA"
"Akhaliak Promotional Products & Prin","","Iqaluit","NU","X0A","867-979-2512","0","B","N","","","","","","","","CA"
"Akhaliak Promotional Products & Prin","Bldg 2736","Iqaluit","NU","X0A","867-979-2501","0","B","","","","","","","","","CA"
"Akitsiraq Faculty House","","Iqaluit","NU","X0A","867-979-3460","0","B","N","","","","","","","","CA"
"Akkik Confectionary Ltd","","Gjoa Haven","NU","X0B","867-360-6188","0","B","N","","","","","","","","CA"
"Akuliriit Daycare Society","","Whale Cove","NU","X0C","867-896-9172","51451","B","N","CHILD CARE SERVICE","","","","","","","CA"
"Akuliriit Daycare Society","","Whale Cove","NU","X0C","867-896-9202","0","B","N","","","","","","","","CA"
"Akulliq Coffee Shop","403 Lot 71","Qikiqtarjuaq","NU","X0A","867-927-8469","56800","B","","COFFEE HOUSES & CAFES","","","","","","","CA"
"Akuluk Flowers","","Iqaluit","NU","X0A","867-979-3000","95380","B","N","FLORIST SHOPS","","","","","","","CA"
"Akuluk Flowers","","Iqaluit","NU","X0A","867-979-3000","104770","B","N","GIFTS","","","","","","","CA"
"Akunnirmiut Broadcast Society","","Clyde River","NU","X0A","867-924-6264","187760","B","N","RADIO BROADCASTING COMPANIES & STATIONS","","","","","","","CA"
"Akunnirmiut Broadcast Society","","Clyde River","NU","X0A","867-924-6265","0","B","N","","","","","","","","CA"
"Alagalak David Mla","","Arviat","NU","X0C","867-857-4485","0","B","N","","","","","","","","CA"
"Alagalak David Mla","","Arviat","NU","X0C","867-857-4486","0","B","N","","","","","","","","CA"
"Alakannuark Ovide Mla","","Repulse Bay","NU","X0C","867-462-4206","0","B","N","","","","","","","","CA"
"Alakannuark Ovide Mla","","Repulse Bay","NU","X0C","867-462-4208","0","B","N","","","","","","","","CA"
"Alariaq Timmun","","Cape Dorset","NU","X0A","867-897-8314","0","B","N","","","","","","","","CA"
"Alariaq Timmun","","Cape Dorset","NU","X0A","867-897-8434","0","B","N","","","","","","","","CA"
"Alariaq Timmun","","Cape Dorset","NU","X0A","867-897-8686","0","B","N","","","","","","","","CA"
"Alarm Quest Ltd","","Iqaluit","NU","X0A","867-979-6221","262137","B","N",""BURGLAR ALARM SYSTEMS RESIDENTIAL, COMMERCIAL & INDUSTRIAL"","","","","","","","CA"
"Alarm Quest Ltd","","Iqaluit","NU","X0A","867-979-6221","232470","B","N","TELEVISION SYSTEMS CLOSED CIRCUIT TELECASTING","","","","","","","CA"
"Alcohol & Drug Program","PO Box 16","Cambridge Bay","NU","X0B","867-983-2133","262136","B","","ADDICTION INFORMATION & TREATMENT CENTERS","","","","","","","CA"
"Alcohol & Drug Worker","","Gjoa Haven","NU","X0B","867-360-7199","0","B","N","","","","","","","","CA"
"Alcohol Education Committee","","Igloolik","NU","X0A","867-934-8820","0","B","N","","","","","","","","CA"
"Alcohol Education Committee","","Igloolik","NU","X0A","867-934-8821","0","B","N","","","","","","","","CA"
"Alivaktak Interpreting Translating","","Pangnirtung","NU","X0A","867-473-8239","239622","B","N","TRANSLATORS & INTERPRETERS","","","","","","","CA"
"Alivaktuk Outfitting","","Pangnirtung","NU","X0A","867-473-8721","109690","B","N","GUIDE SERVICE","","","","","","","CA"
"Allaniq Radio Society","","Pangnirtung","NU","X0A","867-473-8622","0","B","N","","","","","","","","CA"
"Allaniq Radio Society","","Pangnirtung","NU","X0A","867-473-8903","187760","B","N","RADIO BROADCASTING COMPANIES & STATIONS","","","","","","","CA"
"Allen's Outfitter's","","Cambridge Bay","NU","X0B","867-983-2751","109690","B","N","GUIDE SERVICE","","","","","","","CA"
"Allen's Outfitter's","","Cambridge Bay","NU","X0B","867-983-2751","254300","B","N","WILDERNESS OUTFITTERS GUIDES & TOURS","","","","","","","CA"
"Alookie School","","Pangnirtung","NU","X0A","867-473-8718","0","B","N","","","","","","","","CA"
"Alookie School","","Pangnirtung","NU","X0A","867-473-8803","204740","B","N","SCHOOL SECONDARY & ELEMENTARY","","","","","","","CA"
"Amarok Hunters & Trappers Assn","","Iqaluit","NU","X0A","867-979-3390","0","B","N","","","","","","","","CA"
"Amarok Hunters & Trappers Assn","House 623","Iqaluit","NU","X0A","867-979-6848","20670","B","","ASSOCIATIONS SOCIETIES & FOUNDATIONS","","","","","","","CA"
"Ambulance","","Iqaluit","NU","X0A","867-979-4422","15510","B","N","AMBULANCE SERVICE","","","","","","","CA"
"Amittuq Radio Station","","Hall Beach","NU","X0A","867-928-8040","187760","B","N","RADIO BROADCASTING COMPANIES & STATIONS","","","","","","","CA"
"Amittuq Youth Society","","Igloolik","NU","X0A","867-934-4051","0","B","N","","","","","","","","CA"
"Amundsen Hotel","","Gjoa Haven","NU","X0B","867-360-6176","119070","B","N",""HOTELS & MOTELS, ETC. RESERVATIONS"","","","","","","","CA"
"Amundsen Hotel","","Gjoa Haven","NU","X0B","867-360-6176","152170","B","N","MOTELS & HOTELS","","","","","","","CA"
"Amundsen Hotel","","Gjoa Haven","NU","X0B","867-360-6283","152170","B","N","MOTELS & HOTELS","","","","","","","CA"
"Anaana & Me","","Iqaluit","NU","X0A","867-979-1900","51750","B","N","CHILDREN & INFANTS WEAR","","","","","","","CA"
"Anaana & Me","","Iqaluit","NU","X0A","867-979-1900","55400","B","N","CLOTHES & ACCESSORIES WOMEN","","","","","","","CA"
"Anaana & Me","","Iqaluit","NU","X0A","867-979-1900","104770","B","N","GIFTS","","","","","","","CA"
"Ananarut","","Gjoa Haven","NU","X0B","867-360-6464","0","B","N","","","","","","","","CA"
"Andy's Taxi","","Gjoa Haven","NU","X0B","867-360-6122","229840","B","N","TAXICABS & TRANSPORTATION SERVICE","","","","","","","CA"
"Anglican Church","","Whale Cove","NU","X0C","867-896-9184","258034","B","N","CHURCHES ANGLICAN","","","","","","","CA"
"Anglican Church of Canada","St George's Parish","Cambridge Bay","NU","X0B","867-983-2440","258034","B","","CHURCHES ANGLICAN","","","","","","","CA"
"Anglican Mission","","Arctic Bay","NU","X0A","867-439-8054","0","B","N","","","","","","","","CA"
"Anglican Mission","","Arctic Bay","NU","X0A","867-439-8633","0","B","N","","","","","","","","CA"
"Anglican Mission","","Igloolik","NU","X0A","867-934-8701","0","B","N","","","","","","","","CA"
"Anglican Mission","","Kugluktuk","NU","X0B","867-982-5997","0","B","N","","","","","","","","CA"
"Anglican Mission","","Arviat","NU","X0C","867-857-2252","258034","B","N","CHURCHES ANGLICAN","","","","","","","CA"
"Anglican Mission","","Coral Harbour","NU","X0C","867-925-8164","0","B","N","","","","","","","","CA"
"Anglican Mission","","Coral Harbour","NU","X0C","867-925-8397","0","B","N","","","","","","","","CA"
"Apex Geo Science Ltd","","Rankin Inlet","NU","X0C","867-645-2444","0","B","N","","","","","","","","CA"
"Apex Road Quick-Stop","","Iqaluit","NU","X0A","867-979-1709","71940","B","N","DEPARTMENT STORES","","","","","","","CA"
"Apex Road Quick-Stop","","Iqaluit","NU","X0A","867-979-1712","0","B","N","","","","","","","","CA"
"Aqiggiak Hunters & Trappers Org","","Rankin Inlet","NU","X0C","867-645-2350","0","B","N","","","","","","","","CA"
"Aqiggiak Hunters & Trappers Org","","Rankin Inlet","NU","X0C","867-645-3257","0","B","N","","","","","","","","CA"
"Aqiggiq Store","","Igloolik","NU","X0A","867-934-8855","103930","B","N","GENERAL STORES","","","","","","","CA"
"Aqiggiq Store","","Igloolik","NU","X0A","867-934-8923","0","B","N","","","","","","","","CA"
"Aqigiq Hunters & Trappers Organi","","Chesterfield Inlet","NU","X0C","867-898-9063","162500","B","N",""ASSOCIATIONS, CLUBS, & ORGANIZATIONS"","","","","","","","CA"
"Aqigiq Hunters & Trappers Organi","","Chesterfield Inlet","NU","X0C","867-898-9079","162500","B","N",""ASSOCIATIONS, CLUBS, & ORGANIZATIONS"","","","","","","","CA"
"Aqsaaraq Addiction Projects","","Rankin Inlet","NU","X0C","867-645-2867","262136","B","N","ADDICTION INFORMATION & TREATMENT CENTERS","","","","","","","CA"
"Aqsaaraq Addiction Projects","","Rankin Inlet","NU","X0C","867-645-2910","262136","B","N","ADDICTION INFORMATION & TREATMENT CENTERS","","","","","","","CA"
"Aqsaliyaa Words & Picture Video","","Baker Lake","NU","X0C","867-793-2999","246970","B","N","VIDEO PRODUCTION COMPANIES & SERVICES","","","","","","","CA"
"Arctic Bay Housing Association","","Arctic Bay","NU","X0A","867-439-8245","20670","B","N","ASSOCIATIONS SOCIETIES & FOUNDATIONS","","","","","","","CA"
"Arctic Bay Housing Association","","Arctic Bay","NU","X0A","867-439-8833","20670","B","N","ASSOCIATIONS SOCIETIES & FOUNDATIONS","","","","","","","CA"
"Arctic Cat Sales","Bldg 1102","Iqaluit","NU","X0A","867-979-6280","216610","B","","SNOWMOBILES","","","","","","","CA"
"Arctic Cat Sales","Bldg 1102","Iqaluit","NU","X0A","867-979-6280","237180","B","","TOURIST ATTRACTIONS","","","","","","","CA"
"Arctic Cat Sales","Bldg 1102","Iqaluit","NU","X0A","867-979-6280","254300","B","","WILDERNESS OUTFITTERS GUIDES & TOURS","","","","","","","CA"
"Arctic Circle Construction &","","Iqaluit","NU","X0A","867-979-0314","0","B","N","","","","","","","","CA"
"Arctic Circle Construction &","","Iqaluit","NU","X0A","867-979-4130","0","B","N","","","","","","","","CA"
"Arctic Circle Dental Services Ltd","","Iqaluit","NU","X0A","867-979-6740","71770","B","N","DENTISTS","","","","","","","CA"
"Arctic Circle Dental Services Ltd","","Iqaluit","NU","X0A","867-979-6741","0","B","N","","","","","","","","CA"
"Arctic Circle Dental Services Ltd","","Iqaluit","NU","X0A","867-979-6744","0","B","N","","","","","","","","CA"
"Arctic Circle Dental Services Ltd","","Iqaluit","NU","X0A","867-979-6745","0","B","N","","","","","","","","CA"
"Arctic Circle Retail Ltd","","Iqaluit","NU","X0A","867-979-1155","709198","B","N","RETAIL STORES","","","","","","","CA"
"Arctic Circle Retail Ltd","","Iqaluit","NU","X0A","867-979-4155","92130","B","N","FIRE PROTECTION EQUIP & SYSTEMS","","","","","","","CA"
"Arctic Circle Retail Ltd","","Iqaluit","NU","X0A","867-979-4155","200560","B","N","SAFETY EQUIP & CLOTHING","","","","","","","CA"
"Arctic Circle Retail Ltd","","Iqaluit","NU","X0A","867-979-4156","709198","B","N","RETAIL STORES","","","","","","","CA"
"Arctic Circle Surveillance Lt","","Iqaluit","NU","X0A","867-979-1155","0","B","N","","","","","","","","CA"
"Arctic Closet","6 Omingmak St","Cambridge Bay","NU","X0B","867-983-2555","0","B","","","","","","","","","CA"
"Arctic Co-Operatives","","Iqaluit","NU","X0A","867-979-2448","56030","B","N","CO-OPERATIVE ORGANIZATIONS","","","","","","","CA"
"Arctic Co-Operatives","","Iqaluit","NU","X0A","867-979-2535","0","B","N","","","","","","","","CA"
"Arctic Co-Operatives","","Kimmirut","NU","X0A","867-939-2104","0","B","N","","","","","","","","CA"
"Arctic College","","Resolute","NU","X0A","867-252-3778","0","B","N","","","","","","","","CA"
"Arctic College","","Resolute","NU","X0A","867-252-3782","204720","B","N","SCHOOL COLLEGES & UNIVERSITIES","","","","","","","CA"
"Arctic Electrical","","Iqaluit","NU","X0A","867-975-3494","0","B","N","","","","","","","","CA"
"Arctic Electrical","","Iqaluit","NU","X0A","867-979-2496","0","B","N","","","","","","","","CA"
"Arctic Energy Alliance Rankin Inlet of","","Rankin Inlet","NU","X0C","867-645-2346","0","B","N","","","","","","","","CA"
"Arctic Energy Alliance Rankin Inlet of","","Rankin Inlet","NU","X0C","867-645-5067","0","B","N","","","","","","","","CA"
"Arctic Express","","Iqaluit","NU","X0A","867-979-0067","19170","B","N","ART GALLERIES DEALERS & CONSULTANTS","","","","","","","CA"
"Arctic Express","","Iqaluit","NU","X0A","867-979-0067","141290","B","N","MAILING SERVICES","","","","","","","CA"
"Arctic Express","","Iqaluit","NU","X0A","867-979-0067","153940","B","N","MOVING & STORAGE","","","","","","","CA"
"Arctic Express","","Iqaluit","NU","X0A","867-979-3627","0","B","N","","","","","","","","CA"
"Arctic Express","","Iqaluit","NU","X0A","867-979-6303","0","B","N","","","","","","","","CA"
"Arctic Express","Bldg 1555","Iqaluit","NU","X0A","867-979-0067","19170","B","","ART GALLERIES DEALERS & CONSULTANTS","","","","","","","CA"
"Arctic Express","Bldg 1555","Iqaluit","NU","X0A","867-979-0067","141290","B","","MAILING SERVICES","","","","","","","CA"
"Arctic Express","Bldg 1555","Iqaluit","NU","X0A","867-979-0067","153940","B","","MOVING & STORAGE","","","","","","","CA"
"Arctic Fuel Services","","Baker Lake","NU","X0C","867-793-2311","99010","B","N","FUEL OILS","","","","","","","CA"
"Arctic Fuel Services","","Baker Lake","NU","X0C","867-793-4328","0","B","N","","","","","","","","CA"
"Arctic Glow Salon Spa","","Iqaluit","NU","X0A","867-975-2227","0","B","N","","","","","","","","CA"
"Arctic Heating","","Rankin Inlet","NU","X0C","867-645-2366","114530","B","N","HEATING & VENTILATING CONTRACTORS","","","","","","","CA"
"Arctic Heating","","Rankin Inlet","NU","X0C","867-645-2366","179860","B","N","PLUMBING CONTRACTORS","","","","","","","CA"
"Arctic Heating","","Rankin Inlet","NU","X0C","867-645-3191","0","B","N","","","","","","","","CA"
"Arctic Insurance Brokers Ltd","","Iqaluit","NU","X0A","867-979-7071","0","B","N","","","","","","","","CA"
"Arctic Insurance Brokers Ltd","","Iqaluit","NU","X0A","867-979-7700","0","B","N","","","","","","","","CA"
"Arctic Insurance Brokers Ltd","","Iqaluit","NU","X0A","867-979-7701","0","B","N","","","","","","","","CA"
"Arctic Island Lodge","","Cambridge Bay","NU","X0B","867-983-2345","138350","B","N","LODGES","","","","","","","CA"
"Arctic Island Lodge","","Cambridge Bay","NU","X0B","867-983-2345","152170","B","N","MOTELS & HOTELS","","","","","","","CA"
"Arctic Island Lodge","","Cambridge Bay","NU","X0B","867-983-2480","138350","B","N","LODGES","","","","","","","CA"
"Arctic Logic Inc Headoffice","","Iqaluit","NU","X0A","867-979-1513","0","B","N","","","","","","","","CA"
"Arctic Logic Inc Headoffice","","Iqaluit","NU","X0A","867-979-2626","0","B","N","","","","","","","","CA"
"Arctic Resources Limited","","Iqaluit","NU","X0A","867-979-6069","0","B","N","","","","","","","","CA"
"Arctic Resources Limited","","Iqaluit","NU","X0A","867-979-6591","41230","B","N","BUILDERS & CONTRACTORS","","","","","","","CA"
"Arctic Resources Limited","","Iqaluit","NU","X0A","867-979-6591","152170","B","N","MOTELS & HOTELS","","","","","","","CA"
"Arctic Resources Limited","PO Box 387","Iqaluit","NU","X0A","867-979-6465","41230","B","","BUILDERS & CONTRACTORS","","","","","","","CA"
"Arctic Survival Store","","Iqaluit","NU","X0A","867-979-1994","0","B","N","","","","","","","","CA"
"Arctic Survival Store","Bldg 170","Iqaluit","NU","X0A","867-979-1984","268525","B","",""BUSES, COACHES & MINIBUSES-EQUIP & SUPLS"","","","","","","","CA"
"Arctic Survival Store","Bldg 170","Iqaluit","NU","X0A","867-979-1984","93330","B","","FISHING & HUNTING LODGES","","","","","","","CA"
"Arctic Survival Store","Bldg 170","Iqaluit","NU","X0A","867-979-1984","200560","B","","SAFETY EQUIP & CLOTHING","","","","","","","CA"
"Arctic Survival Store","Bldg 170","Iqaluit","NU","X0A","867-979-1984","213730","B","","SIGHTSEEING TOURS & ATTRACTIONS","","","","","","","CA"
"Arctic Survival Store","Bldg 170","Iqaluit","NU","X0A","867-979-1984","240140","B","","TRAVEL AGENCIES & BUREAUS","","","","","","","CA"
"Arctic Survival Store","Bldg 170","Iqaluit","NU","X0A","867-979-1984","254300","B","","WILDERNESS OUTFITTERS GUIDES & TOURS","","","","","","","CA"
"Arctic Ventures 2000 Ltd","","Iqaluit","NU","X0A","867-979-1351","247320","B","N","VIDEO TAPES & DISCS SALES & RENTALS","","","","","","","CA"
"Arctic Ventures 2000 Ltd","","Iqaluit","NU","X0A","867-979-4207","0","B","N","","","","","","","","CA"
"Arctic Ventures 2000 Ltd","","Iqaluit","NU","X0A","867-979-4233","222870","B","N","STEREO EQUIP DEALERS","","","","","","","CA"
"Arctic Ventures 2000 Ltd","","Iqaluit","NU","X0A","867-979-4267","0","B","N","","","","","","","","CA"
"Arctic Ventures 2000 Ltd","","Iqaluit","NU","X0A","867-979-4277","100240","B","N","FURNITURE","","","","","","","CA"
"Arctic Ventures 2000 Ltd","","Iqaluit","NU","X0A","867-979-4279","100240","B","N","FURNITURE","","","","","","","CA"
"Arctic Ventures 2000 Ltd","Airport Store","Iqaluit","NU","X0A","867-979-0043","0","B","","","","","","","","","CA"
"Arctic Ventures 2000 Ltd","Bldg 192","Iqaluit","NU","X0A","867-979-5992","71940","B","","DEPARTMENT STORES","","","","","","","CA"
"Arctic Ventures 2000 Ltd","Bldg 192","Iqaluit","NU","X0A","867-979-5992","104770","B","","GIFTS","","","","","","","CA"
"Arena","","Hall Beach","NU","X0A","867-928-8184","0","B","N","","","","","","","","CA"
"Arena Canteen","","Cape Dorset","NU","X0A","867-897-8993","0","B","N","","","","","","","","CA"
"Arena Maintainer","","Repulse Bay","NU","X0C","867-462-4097","220850","B","N","STADIUMS COLISEUMS ARENAS & ATHLETIC FIELDS","","","","","","","CA"
"Arlooktoo & Associates Consulting","","Iqaluit","NU","X0A","867-979-3838","141560","B","N","MANAGEMENT CONSULTANTS","","","","","","","CA"
"Arlooktoo & Associates Consulting","","Iqaluit","NU","X0A","867-979-5886","0","B","N","","","","","","","","CA"
"Arnaqjauaq School","","Hall Beach","NU","X0A","867-928-8810","0","B","N","","","","","","","","CA"
"Arnaqjauaq School","","Hall Beach","NU","X0A","867-928-8855","0","B","N","","","","","","","","CA"
"Arpi's Industries","","Iqaluit","NU","X0A","867-975-2698","0","B","N","","","","","","","","CA"
"Arreak James Mla","","Clyde River","NU","X0A","867-924-6423","0","B","N","","","","","","","","CA"
"Arreak James Mla","","Clyde River","NU","X0A","867-924-6429","0","B","N","","","","","","","","CA"
"Arreak James Mla","","Qikiqtarjuaq","NU","X0A","867-927-8004","0","B","N","","","","","","","","CA"
"Arreak James Mla","","Qikiqtarjuaq","NU","X0A","867-927-8005","0","B","N","","","","","","","","CA"
"Arreak Leah","","Clyde River","NU","X0A","867-924-6503","0","B","N","","","","","","","","CA"
"Arreak Leah","","Clyde River","NU","X0A","867-924-6724","0","B","N","","","","","","","","CA"
"Arthur Turner Training School","","Pangnirtung","NU","X0A","867-473-8375","206610","B","N","SCHOOL WITH SPECIAL ACADEMIC EDUCATION","","","","","","","CA"
"Arts Induvik Canada Inc","","Iqaluit","NU","X0A","867-979-1103","0","B","N","","","","","","","","CA"
"Arts Induvik Canada Inc","","Iqaluit","NU","X0A","867-979-5578","19170","B","N","ART GALLERIES DEALERS & CONSULTANTS","","","","","","","CA"
"Arviaqpaluk Radio Society","","Arviat","NU","X0C","867-857-2810","0","B","N","","","","","","","","CA"
"Arviaqpaluk Radio Society","","Arviat","NU","X0C","867-857-2852","0","B","N","","","","","","","","CA"
"Arviat Aboriginal Headstart Progr","","Arviat","NU","X0C","867-857-2378","51451","B","N","CHILD CARE SERVICE","","","","","","","CA"
"Arviat Development Corporation","","Arviat","NU","X0C","867-857-2895","0","B","N","","","","","","","","CA"
"Arviat Development Corporation","","Arviat","NU","X0C","867-857-2901","0","B","N","","","","","","","","CA"
